Type,Item Group Name,Item Name,Item Code,Position Strategy Allocation,Item Phase,Inventory Type,Stock In,Warehouse,Zone,Intake Date,Batch No.,Instrction/Process No,Process Name,Outturn No,Grower Marks,Stock In Day(s),Bags,Pockets,Units,Packing Type,Qty.,UOM,Blocked,LB No.,Block Against Collateral/STI,SO No.,PO No.,Supplier,Supplier Address,Certification,Outturn / Factor	,Warrant No
WIP,WASHED ARABICA,C,C,PRE ABC - FAQ,Intermediate,2024 / 2025,,,,,2025/2026-1-5668-KIMAMAFCS/XDA039,BULK-00479,BULKING,47KP0082,,,45,53.600000000029,46,60 KG JUTE BAG,2753.600000000029,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,C,C,PRE ABC - FAQ,Intermediate,2024 / 2025,,,,,2025/2026-1-5673-KULWETESTATE/CI0069,BULK-00478,BULKING,48KP0031,,,67,26.799999999997,67,60 KG JUTE BAG,4046.799999999997,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,C,C,PRE ABC - FAQ,Intermediate,2024 / 2025,,,,,2025/2026-1-5677-MILWARDHOLDINGS/AA.0174A,BULK-00478,BULKING,51KP0020,,,11,15.199999999976,11,60 KG JUTE BAG,675.199999999976,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER B,GRINDER B,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,BULK-00472-GRINDER B,FBULK-00060,FINAL BULKING,BULK-00472,,,140,56.100000000201,141,60 KG JUTE BAG,8456.100000000201,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER B,GRINDER B,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00786-GRINDER B,FBULK-00060,FINAL BULKING,BULK-00481,,,92,45.299999999790,93,60 KG JUTE BAG,5565.299999999790,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER B,GRINDER B,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,FBULK-00058-GRINDER B,FBULK-00060,FINAL BULKING,FBULK-00058,,,3,51.400000000322,4,60 KG JUTE BAG,231.400000000322,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00763-GRINDER L,FBULK-00060,FINAL BULKING,RG-00230,,,89,6.999999999928,89,60 KG JUTE BAG,5346.999999999928,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00764-GRINDER L,FBULK-00060,FINAL BULKING,RG-00231,,,96,52.700000000413,97,60 KG JUTE BAG,5812.700000000413,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00766-GRINDER L,FBULK-00060,FINAL BULKING,RG-00232,,,89,25.999999999792,89,60 KG JUTE BAG,5365.999999999792,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00767-GRINDER L,FBULK-00060,FINAL BULKING,RG-00233,,,87,12.800000000426,87,60 KG JUTE BAG,5232.800000000426,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00769-GRINDER L,FBULK-00060,FINAL BULKING,BULK-00459,,,117,51.800000000041,118,60 KG JUTE BAG,7071.800000000041,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00770-GRINDER L,FBULK-00060,FINAL BULKING,BULK-00460,,,121,31.200000000357,122,60 KG JUTE BAG,7291.200000000357,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST MH,Finished Good,2024 / 2025,,,,,CS-00787-GRINDER L,FBULK-00060,FINAL BULKING,BULK-00482,,,70,32.099999999817,71,60 KG JUTE BAG,4232.099999999817,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00792-GRINDER L,FBULK-00060,FINAL BULKING,BULK-00486,,,122,55.300000000122,123,60 KG JUTE BAG,7375.300000000122,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00794-GRINDER L,FBULK-00060,FINAL BULKING,RG-00259,,,90,25.099999999690,90,60 KG JUTE BAG,5425.099999999690,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GRINDER L,GRINDER L,POST GRINDER BOLD,Finished Good,2024 / 2025,,,,,CS-00797-GRINDER L,FBULK-00060,FINAL BULKING,BULK-00476,,,26,58.700000000044,27,60 KG JUTE BAG,1618.700000000044,Kg,No,, ,,,,,,,
WIP,WASHED ARABICA,GT LIGHTS,GT LIGHTS,POST NATURAL,Intermediate,2024 / 2025,,,,,GS-00024-GT LIGHTS,FBULK-00060,FINAL BULKING,,,,1,40.199999999787,2,60 KG JUTE BAG,100.199999999787,Kg,No,, ,,,,,,,
